,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,1,bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
1,2,ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
2,3,venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
3,3,venusaurmega venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
4,4,charmander,Fire,,309,39,52,43,60,50,65,1,False
5,5,charmeleon,Fire,,405,58,64,58,80,65,80,1,False
6,6,charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
7,6,charizardmega charizard x,Fire,Dragon,634,78,130,111,130,85,100,1,False
8,6,charizardmega charizard y,Fire,Flying,634,78,104,78,159,115,100,1,False
9,7,squirtle,Water,,314,44,48,65,50,64,43,1,False
10,8,wartortle,Water,,405,59,63,80,65,80,58,1,False
11,9,blastoise,Water,,530,79,83,100,85,105,78,1,False
12,9,blastoisemega blastoise,Water,,630,79,103,120,135,115,78,1,False
13,10,caterpie,Bug,,195,45,30,35,20,20,45,1,False
14,11,metapod,Bug,,205,50,20,55,25,25,30,1,False
15,12,butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
16,13,weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
17,14,kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
18,15,beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
19,15,beedrillmega beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
20,16,pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
21,17,pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
22,18,pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
23,18,pidgeotmega pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
24,19,rattata,Normal,,253,30,56,35,25,35,72,1,False
25,20,raticate,Normal,,413,55,81,60,50,70,97,1,False
26,21,spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
27,22,fearow,Normal,Flying,442,65,90,65,61,61,100,1,False
28,23,ekans,Poison,,288,35,60,44,40,54,55,1,False
29,24,arbok,Poison,,438,60,85,69,65,79,80,1,False
30,25,pikachu,Electric,,320,35,55,40,50,50,90,1,False
31,26,raichu,Electric,,485,60,90,55,90,80,110,1,False
32,27,sandshrew,Ground,,300,50,75,85,20,30,40,1,False
33,28,sandslash,Ground,,450,75,100,110,45,55,65,1,False
34,29,nidoran-f,Poison,,275,55,47,52,40,40,41,1,False
35,30,nidorina,Poison,,365,70,62,67,55,55,56,1,False
36,31,nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
37,32,nidoran-m,Poison,,273,46,57,40,40,40,50,1,False
38,33,nidorino,Poison,,365,61,72,57,55,55,65,1,False
39,34,nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
40,35,clefairy,Fairy,,323,70,45,48,60,65,35,1,False
41,36,clefable,Fairy,,483,95,70,73,95,90,60,1,False
42,37,vulpix,Fire,,299,38,41,40,50,65,65,1,False
43,38,ninetales,Fire,,505,73,76,75,81,100,100,1,False
44,39,jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
45,40,wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False
46,41,zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
47,42,golbat,Poison,Flying,455,75,80,70,65,75,90,1,False
48,43,oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
49,44,gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
50,45,vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
51,46,paras,Bug,Grass,285,35,70,55,45,55,25,1,False
52,47,parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
53,48,venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
54,49,venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
55,50,diglett,Ground,,265,10,55,25,35,45,95,1,False
56,51,dugtrio,Ground,,405,35,80,50,50,70,120,1,False
57,52,meowth,Normal,,290,40,45,35,40,40,90,1,False
58,53,persian,Normal,,440,65,70,60,65,65,115,1,False
59,54,psyduck,Water,,320,50,52,48,65,50,55,1,False
60,55,golduck,Water,,500,80,82,78,95,80,85,1,False
61,56,mankey,Fighting,,305,40,80,35,35,45,70,1,False
62,57,primeape,Fighting,,455,65,105,60,60,70,95,1,False
63,58,growlithe,Fire,,350,55,70,45,70,50,60,1,False
64,59,arcanine,Fire,,555,90,110,80,100,80,95,1,False
65,60,poliwag,Water,,300,40,50,40,40,40,90,1,False
66,61,poliwhirl,Water,,385,65,65,65,50,50,90,1,False
67,62,poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
68,63,abra,Psychic,,310,25,20,15,105,55,90,1,False
69,64,kadabra,Psychic,,400,40,35,30,120,70,105,1,False
70,65,alakazam,Psychic,,500,55,50,45,135,95,120,1,False
71,65,alakazammega alakazam,Psychic,,590,55,50,65,175,95,150,1,False
72,66,machop,Fighting,,305,70,80,50,35,35,35,1,False
73,67,machoke,Fighting,,405,80,100,70,50,60,45,1,False
74,68,machamp,Fighting,,505,90,130,80,65,85,55,1,False
75,69,bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
76,70,weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
77,71,victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
78,72,tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
79,73,tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
80,74,geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
81,75,graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
82,76,golem,Rock,Ground,495,80,120,130,55,65,45,1,False
83,77,ponyta,Fire,,410,50,85,55,65,65,90,1,False
84,78,rapidash,Fire,,500,65,100,70,80,80,105,1,False
85,79,slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
86,80,slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
87,80,slowbromega slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
88,81,magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
89,82,magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
90,83,farfetchd,Normal,Flying,352,52,65,55,58,62,60,1,False
91,84,doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
92,85,dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
93,86,seel,Water,,325,65,45,55,45,70,45,1,False
94,87,dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
95,88,grimer,Poison,,325,80,80,50,40,50,25,1,False
96,89,muk,Poison,,500,105,105,75,65,100,50,1,False
97,90,shellder,Water,,305,30,65,100,45,25,40,1,False
98,91,cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
99,92,gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
100,93,haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
101,94,gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
102,94,gengarmega gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
103,95,onix,Rock,Ground,385,35,45,160,30,45,70,1,False
104,96,drowzee,Psychic,,328,60,48,45,43,90,42,1,False
105,97,hypno,Psychic,,483,85,73,70,73,115,67,1,False
106,98,krabby,Water,,325,30,105,90,25,25,50,1,False
107,99,kingler,Water,,475,55,130,115,50,50,75,1,False
108,100,voltorb,Electric,,330,40,30,50,55,55,100,1,False
109,101,electrode,Electric,,480,60,50,70,80,80,140,1,False
110,102,exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
111,103,exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
112,104,cubone,Ground,,320,50,50,95,40,50,35,1,False
113,105,marowak,Ground,,425,60,80,110,50,80,45,1,False
114,106,hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
115,107,hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False
116,108,lickitung,Normal,,385,90,55,75,60,75,30,1,False
117,109,koffing,Poison,,340,40,65,95,60,45,35,1,False
118,110,weezing,Poison,,490,65,90,120,85,70,60,1,False
119,111,rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
120,112,rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
121,113,chansey,Normal,,450,250,5,5,35,105,50,1,False
122,114,tangela,Grass,,435,65,55,115,100,40,60,1,False
123,115,kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
124,115,kangaskhanmega kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
125,116,horsea,Water,,295,30,40,70,70,25,60,1,False
126,117,seadra,Water,,440,55,65,95,95,45,85,1,False
127,118,goldeen,Water,,320,45,67,60,35,50,63,1,False
128,119,seaking,Water,,450,80,92,65,65,80,68,1,False
