,name,moveType,damageClass,power,pp,priority,accuracy
0,gust,flying,special,40.0,35,0,100.0
1,sand-attack,ground,status,,15,0,100.0
2,quick-attack,normal,physical,40.0,30,1,100.0
3,whirlwind,normal,status,,20,-6,
4,wing-attack,flying,physical,60.0,35,0,100.0
5,agility,psychic,status,,30,0,
6,mirror-move,flying,status,,20,0,
7,tackle,normal,physical,40.0,35,0,100.0
8,tail-whip,normal,status,,30,0,100.0
9,hyper-fang,normal,physical,80.0,15,0,90.0
10,focus-energy,normal,status,,30,0,
11,super-fang,normal,physical,,10,0,90.0
12,string-shot,bug,status,,40,0,95.0
13,harden,normal,status,,30,0,
14,poison-sting,poison,physical,15.0,35,0,100.0
15,growl,normal,status,,40,0,100.0
16,thunder-shock,electric,special,40.0,30,0,100.0
17,thunder-wave,electric,status,,20,0,90.0
18,swift,normal,special,60.0,20,0,
19,thunder,electric,special,110.0,10,0,70.0
20,leech-seed,grass,status,,10,0,90.0
21,vine-whip,grass,physical,45.0,25,0,100.0
22,poison-powder,poison,status,,35,0,75.0
23,razor-leaf,grass,physical,55.0,25,0,95.0
24,growth,normal,status,,20,0,
25,sleep-powder,grass,status,,15,0,75.0
26,solar-beam,grass,special,120.0,10,0,100.0
27,scratch,normal,physical,40.0,35,0,100.0
28,ember,fire,special,40.0,25,0,100.0
29,leer,normal,status,,30,0,100.0
30,rage,normal,physical,20.0,20,0,100.0
31,slash,normal,physical,70.0,20,0,100.0
32,flamethrower,fire,special,90.0,15,0,100.0
33,fire-spin,fire,special,35.0,15,0,85.0
34,bubble,water,special,40.0,30,0,100.0
35,water-gun,water,special,40.0,25,0,100.0
36,bite,dark,physical,60.0,25,0,100.0
37,withdraw,water,status,,40,0,
38,skull-bash,normal,physical,130.0,10,0,100.0
39,hydro-pump,water,special,110.0,5,0,80.0
40,defense-curl,normal,status,,40,0,
41,screech,normal,status,,40,0,85.0
42,bide,normal,physical,,10,1,
