,name,moveType,damageClass,power,pp,priority,accuracy
0,gust,flying,special,40.0,35,0,100.0
1,sand-attack,ground,status,,15,0,100.0
2,quick-attack,normal,physical,40.0,30,1,100.0
3,whirlwind,normal,status,,20,-6,
4,wing-attack,flying,physical,60.0,35,0,100.0
5,agility,psychic,status,,30,0,
6,mirror-move,flying,status,,20,0,
7,tackle,normal,physical,40.0,35,0,100.0
8,tail-whip,normal,status,,30,0,100.0
9,hyper-fang,normal,physical,80.0,15,0,90.0
10,focus-energy,normal,status,,30,0,
11,super-fang,normal,physical,,10,0,90.0
12,string-shot,bug,status,,40,0,95.0
13,harden,normal,status,,30,0,
14,poison-sting,poison,physical,15.0,35,0,100.0
15,growl,normal,status,,40,0,100.0
16,thunder-shock,electric,special,40.0,30,0,100.0
17,thunder-wave,electric,status,,20,0,90.0
18,swift,normal,special,60.0,20,0,
19,thunder,electric,special,110.0,10,0,70.0
20,peck,flying,physical,35.0,35,0,100.0
21,leer,normal,status,,30,0,100.0
22,fury-attack,normal,physical,15.0,20,0,85.0
23,drill-peck,flying,physical,80.0,20,0,100.0
24,scratch,normal,physical,40.0,35,0,100.0
25,bite,dark,physical,60.0,25,0,100.0
26,fury-swipes,normal,physical,18.0,15,0,80.0
27,double-kick,fighting,physical,30.0,30,0,100.0
28,horn-attack,normal,physical,65.0,25,0,100.0
29,horn-drill,normal,physical,,5,0,30.0
30,leech-seed,grass,status,,10,0,90.0
31,vine-whip,grass,physical,45.0,25,0,100.0
32,poison-powder,poison,status,,35,0,75.0
33,razor-leaf,grass,physical,55.0,25,0,95.0
34,growth,normal,status,,20,0,
35,sleep-powder,grass,status,,15,0,75.0
36,solar-beam,grass,special,120.0,10,0,100.0
37,ember,fire,special,40.0,25,0,100.0
38,rage,normal,physical,20.0,20,0,100.0
39,slash,normal,physical,70.0,20,0,100.0
40,flamethrower,fire,special,90.0,15,0,100.0
41,fire-spin,fire,special,35.0,15,0,85.0
42,bubble,water,special,40.0,30,0,100.0
43,water-gun,water,special,40.0,25,0,100.0
44,withdraw,water,status,,40,0,
45,skull-bash,normal,physical,130.0,10,0,100.0
46,hydro-pump,water,special,110.0,5,0,80.0
47,confusion,psychic,special,50.0,25,0,100.0
48,stun-spore,grass,status,,30,0,75.0
49,supersonic,normal,status,,20,0,55.0
50,psybeam,psychic,special,65.0,20,0,100.0
51,twineedle,bug,physical,25.0,20,0,100.0
52,pin-missile,bug,physical,25.0,20,0,95.0
53,body-slam,normal,physical,85.0,15,0,100.0
54,thrash,normal,physical,120.0,10,0,100.0
55,defense-curl,normal,status,,40,0,
56,screech,normal,status,,40,0,85.0
57,bide,normal,physical,,10,1,
58,bind,normal,physical,15.0,20,0,85.0
