name,moveType,damageClass,power,pp,priority,accuracy
gust,flying,special,40.0,35,0,100.0
sand-attack,ground,status,,15,0,100.0
quick-attack,normal,physical,40.0,30,1,100.0
whirlwind,normal,status,,20,-6,
wing-attack,flying,physical,60.0,35,0,100.0
agility,psychic,status,,30,0,
mirror-move,flying,status,,20,0,
tackle,normal,physical,40.0,35,0,100.0
tail-whip,normal,status,,30,0,100.0
hyper-fang,normal,physical,80.0,15,0,90.0
focus-energy,normal,status,,30,0,
super-fang,normal,physical,,10,0,90.0
string-shot,bug,status,,40,0,95.0
harden,normal,status,,30,0,
poison-sting,poison,physical,15.0,35,0,100.0
growl,normal,status,,40,0,100.0
thunder-shock,electric,special,40.0,30,0,100.0
thunder-wave,electric,status,,20,0,90.0
swift,normal,special,60.0,20,0,
thunder,electric,special,110.0,10,0,70.0
peck,flying,physical,35.0,35,0,100.0
leer,normal,status,,30,0,100.0
fury-attack,normal,physical,15.0,20,0,85.0
drill-peck,flying,physical,80.0,20,0,100.0
scratch,normal,physical,40.0,35,0,100.0
bite,dark,physical,60.0,25,0,100.0
fury-swipes,normal,physical,18.0,15,0,80.0
double-kick,fighting,physical,30.0,30,0,100.0
horn-attack,normal,physical,65.0,25,0,100.0
horn-drill,normal,physical,,5,0,30.0
bubble,water,special,40.0,30,0,100.0
hypnosis,psychic,status,,20,0,60.0
water-gun,water,special,40.0,25,0,100.0
double-slap,normal,physical,15.0,10,0,85.0
body-slam,normal,physical,85.0,15,0,100.0
amnesia,psychic,status,,20,0,
hydro-pump,water,special,110.0,5,0,80.0
supersonic,normal,status,,20,0,55.0
waterfall,water,physical,80.0,15,0,100.0
splash,normal,status,,40,0,
sing,normal,status,,15,0,55.0
pound,normal,physical,40.0,35,0,100.0
disable,normal,status,,20,0,100.0
defense-curl,normal,status,,40,0,
rest,psychic,status,,10,0,
double-edge,normal,physical,120.0,15,0,100.0
slash,normal,physical,70.0,20,0,100.0
confusion,psychic,special,50.0,25,0,100.0
teleport,psychic,status,,20,0,
vine-whip,grass,physical,45.0,25,0,100.0
growth,normal,status,,20,0,
wrap,normal,physical,15.0,20,0,90.0
poison-powder,poison,status,,35,0,75.0
sleep-powder,grass,status,,15,0,75.0
stun-spore,grass,status,,30,0,75.0
acid,poison,special,40.0,30,0,100.0
razor-leaf,grass,physical,55.0,25,0,95.0
slam,normal,physical,80.0,20,0,75.0
vise-grip,normal,physical,55.0,30,0,100.0
guillotine,normal,physical,,5,0,30.0
stomp,normal,physical,65.0,20,0,100.0
crabhammer,water,physical,100.0,10,0,90.0
withdraw,water,status,,40,0,
clamp,water,physical,35.0,15,0,85.0
aurora-beam,ice,special,65.0,20,0,100.0
ice-beam,ice,special,90.0,10,0,100.0
headbutt,normal,physical,70.0,15,0,100.0
poison-gas,poison,status,,40,0,90.0
psychic,psychic,special,90.0,10,0,100.0
meditate,psychic,status,,40,0,
dig,ground,physical,80.0,10,0,100.0
earthquake,ground,physical,100.0,10,0,100.0
pay-day,normal,physical,40.0,20,0,100.0
screech,normal,status,,40,0,85.0
leech-seed,grass,status,,10,0,90.0
solar-beam,grass,special,120.0,10,0,100.0
ember,fire,special,40.0,25,0,100.0
rage,normal,physical,20.0,20,0,100.0
flamethrower,fire,special,90.0,15,0,100.0
fire-spin,fire,special,35.0,15,0,85.0
skull-bash,normal,physical,130.0,10,0,100.0
absorb,grass,special,20.0,25,0,100.0
spike-cannon,normal,physical,20.0,15,0,100.0
lovely-kiss,normal,status,,10,0,75.0
lick,ghost,physical,30.0,30,0,100.0
ice-punch,ice,physical,75.0,15,0,100.0
thrash,normal,physical,120.0,10,0,100.0
blizzard,ice,special,110.0,5,0,70.0
swords-dance,normal,status,,20,0,
psybeam,psychic,special,65.0,20,0,100.0
twineedle,bug,physical,25.0,20,0,100.0
pin-missile,bug,physical,25.0,20,0,95.0
dragon-rage,dragon,special,,10,0,100.0
hyper-beam,normal,special,150.0,5,0,90.0
recover,normal,status,,10,0,
reflect,psychic,status,,20,0,
sonic-boom,normal,special,,20,0,90.0
thunderbolt,electric,special,90.0,15,0,100.0
bubble-beam,water,special,65.0,20,0,100.0
whirlwind,normal,status,,20,-6,
water-gun,water,special,40,25,0,100
mega-punch,normal,physical,80,20,0,85
bide,normal,physical,,10,1,
thunder,electric,special,110,10,0,70
thunder-wave,electric,status,,20,0,90
seismic-toss,fighting,physical,,20,0,100
dig,ground,physical,80,10,0,100
thunderbolt,electric,special,90,15,0,100
body-slam,normal,physical,85,15,0,100
rest,psychic,status,,10,0,
teleport,psychic,status,,20,0,
ice-beam,ice,special,90,10,0,100
rock-slide,rock,physical,75,10,0,90
tri-attack,normal,special,80,10,0,100
mega-kick,normal,physical,120,5,0,75
submission,fighting,physical,80,20,0,80
reflect,psychic,status,,20,0,
